creator,poem
0,"In womb I was fed on the extraction of her body
I played, moved there wether night or day
She bore me with great care
She more thought of me than other
About how I would be
When I might come on her lap
What she would name me
How she would rear me up;
At last her waitness came to an end
On a favourable day l came
She forgot the pains from she suffered
The eye balls of her I became;
How much love, care, adore are in the earth?
All she brings and inserts on me
She overcomes all difficulties of me
From womb to the last she does breathe;
I have observed at adolescence
I have remembered her presence
None is like mother how may be they our
Mother is just mother none is like her
However she is to all other
To me, after God is my mother."
0,"(free verse) *A Message From Space
Spick! ...Spick
This is Captain Cork ...
The universe is leaking
Put the olive back in the bottle
(free verse.. prose on a poet site) *"
0,"(after Elisabeth Eybers)
You ask that I must again turn back with a gesture,
must go away from that which is safe and secure,
that I must accept changes in you and your family
and that everything does remain the same is no secret,
where you do expect that I have got to forget everything,
must come and face a similar lifelong barrage,
where I know of the breaking down of my humanity:
that your people do not even respect or regard me as a human being,
where you did bring about and speak out the end of our relationship
and then it was with you and your people's deeds night to me,
but now you do want that I break my intentions with someone else
as if there still remains something between us, you do expect:
that after all of this no change has come
and here I stand totally confused and astonished.
[Reference:""Sonnet.Al wat jy vra is net die klein gebaar"" (Sonnet. All that you ask is only a small gesture)by Elisabeth Eybers.]"
0,"Fruit juice
Suitable for health,
Gives vigor
In figure;
Extractions of
Harmful ingredients
Chemicalized and
Fermented
As damn the health
So damn the soul.
Copyright © Muzahidul Reza │13 January,2018"
0,"I somehow seem to always comfort others with the words I want to hear
I hear myself telling people to stay srtong
And to hold on to what they love
And to let go of what is hurting them
And to work hard to earn what they want
And that everything's gonna end up just fine
And that eventhough it feels like the end of the world, it isn't
But when it comes to me
I'm the weakest person on earth
And I push what I love away because I fear getting hurt
And I hold on to what I know is of no good to me
And I expect to get what I want without working for it, but I don't, so I'm left with nothing
And I know for a fact that nothing really gets better:
I just get used to the situation I'm in
And the end of the world is basically every single night I'm alone with my thoughts
I've come to a conclusion that I crave seeing people being good at the things I'm bad at
I try my more than best to ensure the well-being of others while my own happiness is just an act so those I'm helping don't feel like there's something wrong
It's because I know what being down, being rejected, being hurt, and feeling worthless feel like, I don't want anyone to feel like that
I am not asking for your sympathy
I am not asking you to tell me words of comfort
Because this will only make me feel worse
And please, if you are going to say something, don't tell me that things are gonna be okay and that there is a light at the end of every dark tunnel
As I've said before, nothing really becomes 'okay'
And I know that every tunnel ends with a light
Just let me keep on doing what I'm doing because helping ones who have no one to hear them out or those who feel depressed or that nothing is right helps me, too, somehow
I think that by trying to understand others, it's one step closer to understanding myself
And in solving others' problems I find solutions to my own
I believe that the first step to knowing oneself is knowing others well as to discover what pleases or angers you and change your life to what suits you most"
0,"Simply the mind can not be idle
And it kicks the heart bullying
The heart cries, the mind giggles
And the mind starts singing
In all tones in all colours of lexicon
Stunned heart mutes its cry
And the mind and the heart both sing
Freely freely free verses"
0,"Beauty with immodesty
Is not beautiful at all
Here beauty is real
Beautiful is false
As beauty is heavenly
Immodesty is helly
To be beautiful
Need modesty to be modest above all.
Copyright © Muzahidul Reza |08/04/2017"
0,"Old generation goes
New generation comes
Hold them tightly in hands
Caress them properly in minds,
Teach them things they need
Make them gently mannered,
Leave things well for them
Don't leave them at dark
But leave them enlightened
They are tender hearted
Leave them not on stone
They are our new generation.
Copyright © Muzahidul Reza | 30 October,2017"
0,"An excellent piece of modern poems
Full of darkness, chaos and trash
Of war, horror, terror, destruction
Violence, crimes, corruption, oppression
Depression, deprivation, frustration
Snatching, robbing, raping, wrong doing
Abducting, killing, cutting, firing, burning
Bombing, massacring, occupying
Torturing, tormenting, spoiling, damaging
Forgery, hypocrisy, lust and all ill forces mixed.
Copyright © Muzahidul Reza |12/24/2016"
0,"Clearly seen and truly said something
Not of nature but of human being,
Of their claiming big by brain
But showing majorly wrongs in doing;
Inventing dreadful chemicals and arms
They raise random wars to massacre,
Illegally charging any race or nation
Dishonor, murder and destroy to finish;
These are some fatal signs of being
Fool in abusing but wise in nothing,
Committing injustice, crimes, corruption
Being really hypocrite show outwardly fit.
Copyright © Muzahidul Reza | 10 November,2017"
0,"In the black townships the days and nights clatter pass
while mini-bus taxis are constantly at war
with every bus and train and do protect their routes with murder,
they shoot with AK-47's as they do drive pass
where this country is now free from law and order,
where things everywhere do only become weaker and do deteriorate
and for nobody there is respect or consideration
when Lucifer gets his claws into everything
and in the lawlessness do stick out his dark fingers
where white educated and qualified people are unemployed,
hordes of others do strike and even at universities do demonstrate violently
while criminals do merciless torture, rape, murder, rob and break
and God's mercy, His love do lack in the hearts of people
while Lucifer and his darkness is in the heart, the mind and eye.
© Gert Strydom"
0,"Empires are like the vast waves
Upon a never ending ocean of time
They start off humbly before rising
Out of the gloom of their origins.
Forever reaching up towards the
Sacred searing light of the heavens
Searching for a promise of power
That is never found, or fully realized.
Those that bare witness to it can
Only marvel at it’s sheer decadence
And it’s raw, unlimited power which
Drives it’s endless, unsatisfied greed.
As quickly as it appeared it sinks away
Into the oblivion of the darkness which
Gave it birth, only for another to follow
In its wake, thus the cycle goes ever on."
0,One can only hope that no one hands him a violin
0,"Hollow-eyed shades
of human beings,
human beings
cogitating on jazz music,
jazz penetrating the silence
of the bleeding angels,
angels in a fight for
the awakening of this blind reality,
wars,
racism,
asylums,
prostitution,
anxious women,
terrorist attacks,
public executions,
illegal immigration,
dengue fever, songs, low wages,
Zika and Chikungunya viruses,
human cells combined with mammal fetus,
monetization of the objects
emblazoned clothes &  precious stones,
Islamist militancy,
meteorite impacts,
vegetation fires,
crucifixions,
kidnappings,
sphinxes,
crimes,
drugs,
cocktails,
birth defects,
huge ocean waves,
ISIS strategies,
sexual harassments,
sales of stolen artifacts,
multiple vortex tornadoes,
quakes striking near the plate boundaries,
children murdered in egregious crackdowns,
food securities for starving people,
changes in refugee policies,
landslides, Monsoon rains and flash floods,
seasonal unemployment,
nuclear disasters,
smiling volcanoes,
price increases,
naked bodies,
hairstyles,
dreams,
cubes,
glasses,
gas stations,
interim work,
glacier calving,
protests blocking the roads,
new theatrical triumphs,
ill kids not displaying symptoms,
macroeconomic policies,
silent strategies of democracies,
different drivers having
different styles to run their cars,
cars blinking their headlights
while their motors scream,
screaming trees and revolvers
that shoot up walls to write lyrics,
lyrics of jazz penetrating the silence
of the bleeding angels,
angels in a fight for
the awakening of this new reality.
Poem by Marieta Maglas"
